date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:22	100247/100247	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2004:36:15%20GMT	https://templates.hibotheme.com/adma/default/index.html	F:/cultivision%20web/templates.hibotheme.com/adma/default/index.html	(from )
16:16:22	127/127	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Aug%202025%2010:16:23%20GMT	https://templates.hibotheme.com/robots.txt		(from )
16:16:23	232752/232752	---MCZ	200	added ('OK')	text/css	etag:W/%22666a7765-38d30%22	https://templates.hibotheme.com/adma/default/assets/css/bootstrap.min.css	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/css/bootstrap.min.css	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:23	18421/18421	---MCZ	200	added ('OK')	text/css	etag:W/%22666a7765-47f5%22	https://templates.hibotheme.com/adma/default/assets/css/swiper-bundle.min.css	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/css/swiper-bundle.min.css	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:23	6145/6145	---MCZ	200	added ('OK')	text/css	etag:W/%22666a776a-1801%22	https://templates.hibotheme.com/adma/default/assets/css/scrollCue.css	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/css/scrollCue.css	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:23	138813/138813	---MCZ	200	added ('OK')	text/css	etag:W/%22666a7766-21e3d%22	https://templates.hibotheme.com/adma/default/assets/css/remixicon.css	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/css/remixicon.css	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:23	5890/5890	---MCZ	200	added ('OK')	text/css	etag:W/%22666a776a-1702%22	https://templates.hibotheme.com/adma/default/assets/css/flaticon.css	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/css/flaticon.css	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:24	120932/120932	---MCZ	200	added ('OK')	text/css	etag:W/%22666a7769-1d864%22	https://templates.hibotheme.com/adma/default/assets/css/style.css	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/css/style.css	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:24	59685/59685	---MCZ	200	added ('OK')	text/css	etag:W/%22666a7768-e925%22	https://templates.hibotheme.com/adma/default/assets/css/responsive.css	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/css/responsive.css	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:24	765/765	---M--	200	added ('OK')	image/png	etag:%22666a7774-2fd%22	https://templates.hibotheme.com/adma/default/assets/img/favicon.png	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/favicon.png	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:25	49818/49818	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2004:36:27%20GMT	https://templates.hibotheme.com/adma/default/faculty.html	F:/cultivision%20web/templates.hibotheme.com/adma/default/faculty.html	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:25	42113/42113	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2004:36:27%20GMT	https://templates.hibotheme.com/adma/default/university-life.html	F:/cultivision%20web/templates.hibotheme.com/adma/default/university-life.html	(from https://templates.hibotheme.com/adma/default/index.html)
16:16:25	36772/36772	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2004:36:22%20GMT	https://templates.hibotheme.com/adma/default/login.html	F:/cultivision%20web/templates.hibotheme.com/adma/default/login.html	(from https://templates.hibotheme.com/adma/default/index.html)
